Table 3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,Total,I.H.S.
,Alaska,,,Albuquerque,,,Bemidji,,,Billing,,,California,,,Great Plains,,,Nashville,,,Navajo,,,Oklahoma,,,Phoenix,,,Portland,,,Tucson,,,Federal,Tribal,Total
,Federal,Tribal,Total,Federal,Tribal,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,,,
"1. Coronary bypass and valvular
    surgery", -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 19 , 3 , 22 , -   , -   , -   , -   , 31 , 31 , -   , -   , -   , 20 , 41 , 61 
2. Transplants , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , 2 , 2 , 4 , 5 , 11 , 16 , -   , -   , -   , -   , 2 , 2 , -   , -   , -   , 7 , 20 , 27 
3. Neurosurgery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 22 , -   , 22 , -   , -   , -   , -   , 50 , 50 , 65 , 11 , 76 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 87 , 62 , 149 
"4. Restorative orthopedic: joint-hip,
    knee replacements, other orthopedic", -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , 8 , -   , 1 , 1 , 22 , -   , 22 , 1 , -   , 1 , 36 ," 1,311 "," 1,347 ", 457 , 17 , 474 , -   , -   , -   , -   , 44 , 44 , -   , -   , -   , 524 ," 1,373 "," 1,897 "
"5. Reconstructive surgery: cleft palate,
    skin grafts", -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , -   , -   , -   , -   , -   , -   , 21 , 12 , 33 , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 28 , 17 , 45 
6. Pacemaker implant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , 8 , 8 , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 9 , 11 
"7. Lithotripsy, etc: kidney stones", -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , 17 , 4 , 1 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 1 , 26 
"    Lithotripsy, etc: gall stones", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8. Other Acute Chronic Tertiary Care , -   , -   , -   , -   , -   , -   , 19 , -   , 19 , 17 , -   , 17 , -   , 26 , 26 , 30 , -   , 30 , 8 , -   , 8 , -   , -   , -   , 255 , 45 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 329 , 71 , 400 
