NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,,,
 l. Cardiac ,a. cardiac cath,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79 ,30 ,109 ,19 ,2 ,21 ,0 ,0 ,0 ,0 ,20 ,20 ,0 ,0 ,0 ,106 ,52 ,158 
    Procedures,b. arteriogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,7 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,7 ,3 ,10 
,c angioplasty,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,1 ,5 ,6 
,d. angiogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,1 ,6 ,0 ,0 ,0 ,0 ,46 ,46 ,0 ,0 ,0 ,5 ,47 ,52 
,"e. other (echo's, Holters)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,13 ,0 ,0 ,0 ,26 ,0 ,26 ,3 ,0 ,3 ,25 ,129 ,154 ,658 ,476 ,"1,134 ",0 ,0 ,0 ,0 ,158 ,158 ,0 ,0 ,0 ,725 ,763 ,"1,488 "
,f. stress tests,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,14 ,0 ,14 ,2 ,0 ,2 ,43 ,300 ,343 ,54 ,19 ,73 ,0 ,0 ,0 ,0 ,35 ,35 ,0 ,0 ,0 ,117 ,354 ,471 
(Great Plains)----->,g. Cardiology Consults,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,25 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,25 ,28 
 2. Dental ,a. orthodontics (braces),0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,5 ,0 ,5 ,28 ,0 ,28 ,2 ,14 ,16 ,0 ,0 ,0 ,0 ,234 ,234 ,0 ,"1,444 ","1,444 ",37 ,"1,693 ","1,730 "
     Procedures,"b. prosthodontics-bridges,dentures",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,3 ,0 ,3 ,714 ,0 ,714 ,0 ,0 ,0 ,0 ,41 ,41 ,0 ,53 ,53 ,0 ,"2,244 ","2,244 ",719 ,"2,339 ","3,058 "
,c. endodontics (root canal),0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,18 ,0 ,18 ,0 ,9 ,9 ,0 ,0 ,0 ,2 ,0 ,2 ,29 ,0 ,29 ,3 ,75 ,78 ,0 ,196 ,196 ,0 ,110 ,110 ,0 ,"1,307 ","1,307 ",53 ,"1,697 ","1,750 "
,d. periodontics (gum surgery),0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,4 ,4 ,0 ,120 ,120 ,0 ,0 ,0 ,4 ,126 ,130 
,e. oral surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,7 ,0 ,15 ,15 ,0 ,0 ,0 ,11 ,0 ,11 ,33 ,0 ,33 ,1 ,20 ,21 ,0 ,11 ,11 ,0 ,193 ,193 ,0 ,0 ,0 ,52 ,239 ,291 
,f. other ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,32 ,0 ,32 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,"1,025 ","1,027 ",0 ,10 ,10 ,0 ,120 ,120 ,0 ,0 ,0 ,41 ,"1,155 ","1,196 "
 3. ENT Services,a. non-acute otitis media,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,63 ,0 ,63 ,157 ,6 ,163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,224 ,6 ,230 
,b. tympanoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,5 
,c. T&As,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,4 ,10 ,0 ,0 ,0 ,0 ,7 ,7 ,0 ,0 ,0 ,6 ,11 ,17 
,d. septo-rhinoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,3 ,0 ,3 ,1 ,0 ,1 ,12 ,0 ,12 ,4 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,22 
,e. P E tubes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,23 ,1 ,0 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,4 ,1 ,5 ,0 ,0 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,7 ,28 ,35 
,f. other,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,13 ,0 ,13 ,0 ,1 ,1 ,78 ,0 ,78 ,1 ,0 ,1 ,0 ,323 ,323 ,580 ,550 ,"1,130 ",0 ,0 ,0 ,0 ,660 ,660 ,0 ,0 ,0 ,678 ,"1,534 ","2,212 "
