NAME,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,FY 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CATEGORY:, SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,,,,,,,,,,,,,,,
,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL TOTAL,TRIBAL TOTAL,I.H.S. TOTAL,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 1 , 1 , 3 , -   , 3 , -   , -   , -   ," 21,231 ", -   ," 21,231 ", 2 , 43 , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,237 ", 44 ," 21,281 ",,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 2 , 2 , 11 , -   , 11 , -   , -   , -   , 2 , 36 , 38 , 25 , 65 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 39 , 103 , 142 ,,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 9 , -   , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , -   , 11 ,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , 2 , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , 7 ,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 1 , 7 ,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 5 , 5 , 39 , -   , 39 , -   , -   , -   , 13 ," 1,322 "," 1,335 ", -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 53 ," 1,329 "," 1,382 ",,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , -   , -   , -   , 6 , 12 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 12 , 22 ,,,,,,,,,,,,,,
8. Physical Therapy, -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , 5 , 5 , 14 , -   , 14 , 1 , -   , 1 , 2 , 22 , 24 , 28 , 83 , 111 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , 110 , 165 ,,,,,,,,,,,,,,
9. Pap Smears, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , 4 , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , 6 ,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , -   , 5 , 5 , -   , -   , -   , -   , -   , -   ," 2,079 ", 81 ," 2,160 "," 3,300 ", -   ," 3,300 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,382 ", 86 ," 5,468 ",,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 48 , -   , 48 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 48 , -   , 48 ,,,,,,,,,,,,,,
