NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,,,
 l. Cardiac ,a. cardiac cath,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,55 ,"1,868 ","1,923 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,"1,871 ","1,932 "
    Procedures,b. arteriogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,c angioplasty,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,d. angiogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,"e. other (echo's, Holters)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,4 ,10 ,0 ,10 ,0 ,0 ,0 ,48 ,0 ,48 ,131 ,622 ,753 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,189 ,626 ,815 
,f. stress tests,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,11 ,0 ,11 ,0 ,11 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,11 ,25 
(Great Plains)----->,g. Cardiology Consults,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,101 ,101 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,101 ,102 
 2. Dental ,a. orthodontics (braces),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,1 ,121 ,0 ,121 ,31 ,8 ,39 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,154 ,9 ,163 
     Procedures,"b. prosthodontics-bridges,dentures",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33 ,33 ,0 ,0 ,0 ,0 ,0 ,0 ,202 ,0 ,202 ,"1,500 ",0 ,"1,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,702 ",33 ,"1,735 "
,c. endodontics (root canal),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,22 ,22 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,002 ",22 ,"2,024 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,005 ",44 ,"2,049 "
,d. periodontics (gum surgery),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,4 ,29 
,e. oral surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,22 ,22 ,0 ,0 ,0 ,35 ,0 ,35 ,0 ,0 ,0 ,35 ,"1,898 ","1,933 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74 ,"1,920 ","1,994 "
,f. other ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,59 ,59 ,0 ,795 ,795 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,854 ,865 
 3. ENT Services,a. non-acute otitis media,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,17 ,97 ,0 ,97 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,117 ,0 ,117 
,b. tympanoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,12 
,c. T&As,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 
,d. septo-rhinoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,4 
,e. P E tubes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,74 ,0 ,74 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,76 ,3 ,79 
,f. other,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,7 ,209 ,216 ,621 ,"1,206 ","1,827 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,630 ,"1,415 ","2,045 "
 4. GYN Procedures,a. hysterectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,7 ,0 ,7 ,0 ,0 ,0 ,1 ,1 ,2 ,14 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,4 ,27 
,b. other elective procedures,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,11 ,11 ,42 ,0 ,42 ,2 ,0 ,2 ,4 ,0 ,4 ,15 ,33 ,48 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,44 ,110 
 5.  Medical Referral/,a. dermatology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,8 ,0 ,0 ,0 ,35 ,0 ,35 ,0 ,0 ,0 ,39 ,330 ,369 ,374 ,"2,057 ","2,431 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,456 ,"2,387 ","2,843 "
      Procedures,b. neurology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,45 ,400 ,445 ,0 ,42 ,42 ,0 ,0 ,0 ,15 ,0 ,15 ,0 ,0 ,0 ,64 ,442 ,506 
,c. EEG/EMG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,28 ,24 ,52 ,76 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,83 ,108 
,d. internal medicine,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,10 ,0 ,10 ,0 ,0 ,0 ,403 ,0 ,403 ,1 ,"1,435 ","1,436 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,415 ,"1,435 ","1,850 "
,e. nephrology/IVPs,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,24 ,299 ,323 ,442 ,393 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,472 ,692 ,"1,164 "
,f. hematology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,55 ,59 ,126 ,55 ,181 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,132 ,110 ,242 
,g. oncology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,41 ,0 ,41 ,0 ,0 ,0 ,9 ,426 ,435 ,175 ,218 ,393 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,225 ,645 ,870 
,h. GI/gastroscopy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,8 ,0 ,0 ,0 ,23 ,0 ,23 ,0 ,0 ,0 ,84 ,409 ,493 ,480 ,261 ,741 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,595 ,670 ,"1,265 "
,i. pulmonary,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,8 ,0 ,1 ,1 ,52 ,0 ,52 ,0 ,0 ,0 ,59 ,185 ,244 ,220 ,617 ,837 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,339 ,803 ,"1,142 "
