ORAP/Division of Contract Care,,,,,,,
FY 2017 Purchased / Referred Care Unmet Need,,,,,,,
 as of 2/1/2018,,,,,,,
,,,,,,,
,,,,,,,
Total Estimated Unmet Need ,,,,,, ,
,Number,Amount,,,, ,
I. Denied Services,"66,921"," $275,765,149 ",,,, ,
II. Deferred Services,"195,776"," $810,549,747 ",,,, ,
Subtotal,"262,698"," $1,086,314,896 ",,,, ,
III. CHEF Cases,0, $- ,,,, ,
TOTAL,"262,698"," $1,086,314,896 ",,,, ,
,,,,,,,
,,,,,,,
,,,,,,,
I. Denied Services,,Data Reported,,Data Not Reported,,,
Services,"Average 
Cost per Claim",Number of Denied Services,Amount,Estimated Number of Denied Services*,Amount**,"Total Number of 
Denied Services","Total Cost of 
Denied Services"
Inpatient - 40%," $9,199 ","13,995"," $128,740,019 ","12,773"," $117,500,811.03 ","26,769"," $246,240,830 "
Outpatient - 50%, $516 ,"17,494"," $9,031,444 ","15,967"," $8,242,985.01 ","33,461"," $17,274,429 "
Transportation - 10%," $2,025 ","3,499"," $7,085,371 ","3,193"," $5,164,519 ","6,692"," $12,249,890 "
Total,,"34,988"," $144,856,834 ","31,933"," $130,908,315 ","66,921"," $275,765,149 "
,,,,,,,
,,,,,,,
,,,,,,,
"Denied
Methodology",Total Programs,"Number of 
Programs that Reported Data",Percent of Programs  that Reported Data,Percent of PRC Budget Accounted for ,"Apply Percent of
Data Reported",,
Federal PRC Programs,64,64,100%,40%,40%,,
Tribal PRC Programs,177,62,35%,60%,21%,,
,,Percent of Data Reported,,,52%,,
,,Percent of Data Not Reported,,,48%,,
*Estimated Number of Denied Services = (Reported Number of Denied Services / Percent of Data Reported) * (Percent of Data Not Reported),,,,,,,
**Cost for the Estimated Number of Denied Services = Average Cost per Claim (as provided by the FI) * Estimated Number of Denied Services,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
II. Deferred Services,,Data Reported,,Data Not Reported,,,
Services,"Average 
Cost per Claim",Number of Deferred Services,Amount,Estimated Number of Deferred Services*,Amount**,Total Number of Deferred Services,"Total Cost of 
Deferred Services"
Inpatient - 40%," $9,199 ","40,942"," $376,623,796 ","37,368"," $343,743,941.16 ","78,310"," $720,367,738 "
Outpatient - 50%, $516 ,"51,178"," $26,421,131 ","46,710"," $24,114,524.22 ","97,888"," $50,535,655 "
Transportation - 10%," $2,025 ","10,236"," $20,727,969 ","9,342"," $18,918,384.83 ","19,578"," $39,646,354 "
Total,,"102,356"," $423,772,897 ","93,420"," $386,776,850 ","195,776"," $810,549,747 "
,,,,,,,
,,,,,,,
 Deferred Methodology,Total Programs,Number of Programs that Reported Data,Percent of Programs Reported,"Percent of 
PRC Budget Accounted for",Apply Percent of Data Reported,,
Federal PRC Programs,64,64,100%,40%,40%,,
Tribal PRC Programs,177,62,35%,60%,21%,,
,,Percent of Data Reported,,,52%,,
,Percent of Data Not Reported,,,,48%,,
*Estimated Number of Deferred Services = (Reported Number of Deferred Services / Percent of Data Reported) * (Percent of Data Not Reported),,,,,,,
**Cost for the Estimated Number of Deferred Services = Average Cost per Claim (as provided by the FI) * Estimated Number of Denied Services,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
III. Catastrophic Health Emergency Fund (CHEF) Cases Reimbursed and Not Reimbursed,,,,,,,
Year,"CHEF 
Cases Reimbursed","Amount of CHEF 
Cases Reimbursed ","CHEF Cases 
Not Reimbursed",Cost for CHEF Cases Not Reimbursed ,,,
2017,"1,073"," $44,920,130 ",0, $- ,,,
