Table 3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,Total,I.H.S.
,Alaska,,,Albuquerque,,,Bemidji,,,Billing,,,California,,,Great Plains,,,Nashville,,,Navajo,,,Oklahoma,,,Phoenix,,,Portland,,,Tucson,,,Federal,Tribal,Total
,Federal,Tribal,Total,Federal,Tribal,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,,,
"1. Coronary bypass and valvular
    surgery", -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 5 , 1 , 6 , 41 ," 2,352 "," 2,393 ", -   , -   , -   , -   , 32 , 32 , -   , -   , -   , 48 ," 2,385 "," 2,433 "
2. Transplants , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 7 , -   , 7 , -   , -   , -   , -   , 5 , 5 , 10 , 11 , 21 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , 19 , 17 , 36 
3. Neurosurgery, -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 15 , -   , 10 , 10 , 6 , -   , 6 , -   , -   , -   , 6 , 284 , 290 , 183 , 6 , 189 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 210 , 300 , 510 
"4. Restorative orthopedic: joint-hip,
    knee replacements, other orthopedic", -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , -   , 9 , 9 , 42 , -   , 42 , 1 , -   , 1 , 15 , 761 , 776 , 448 ," 1,592 "," 2,040 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 512 ," 2,362 "," 2,874 "
"5. Reconstructive surgery: cleft palate,
    skin grafts", -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 28 , 9 , 37 , -   , -   , -   , -   , 367 , 367 , -   , -   , -   , 30 , 376 , 406 
6. Pacemaker implant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 46 , 46 , -   , -   , -   , 7 , 46 , 53 
"7. Lithotripsy, etc: kidney stones", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 11 , -   , 11 , -   , -   , -   , 1 , -   , 1 , 109 , 522 , 631 , -   , -   , -   , -   , 127 , 127 , -   , -   , -   , 121 , 654 , 775 
"    Lithotripsy, etc: gall stones", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8. Other Acute Chronic Tertiary Care , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , -   , 142 , 142 , 283 , -   , 283 , 69 , -   , 69 , -   , -   , -   , 109 ," 10,035 "," 10,144 ", -   , -   , -   , -   , 77 , 77 , -   , -   , -   , 467 ," 10,254 "," 10,721 "
TOTAL , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 30 , -   , 30 , -   , 166 , 166 , 357 , -   , 357 , 70 , -   , 70 , 28 ," 1,051 "," 1,079 ", 928 ," 14,527 "," 15,455 ", -   , -   , -   , -   , 650 , 650 , -   , -   , -   ," 1,414 "," 16,394 "," 17,808 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3C,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alaska,Albuquerque,Bemidji,Billing,California,Great Plains,Nashville,Navajo,Oklahoma,Phoenix,Portland,Tucson,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Coronary bypass and valvular
    surgery", -   , -   , 1 , -   , -   , 1 , -   , 6 ," 2,393 ", -   , -   , -   ," 2,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2. Transplants , -   , -   , -   , 2 , -   , 7 , -   , 5 , 21 , -   , -   , -   , 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Neurosurgery, -   , -   , -   , 15 , -   , 6 , -   , 290 , 189 , -   , -   , -   , 341 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Restorative orthopedic: joint-hip,
    knee replacements, other orthopedic", -   , -   , -   , 6 , -   , 42 , 1 , 776 ," 2,040 ", -   , -   , -   ," 2,097 ",,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Reconstructive surgery: cleft palate,
    skin grafts", -   , -   , -   , 1 , -   , 1 , -   , -   , 37 , -   , -   , -   , 123 ,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Pacemaker implant, -   , -   , -   , -   , -   , 6 , -   , 1 , -   , -   , -   , -   , 70 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Lithotripsy, etc: kidney stones", -   , -   , -   , -   , -   , 11 , -   , 1 , 631 , -   , -   , -   , 727 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Lithotripsy, etc: gall stones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Other Acute Chronic Tertiary Care , -   , -   , -   , -   , -   , 283 , 69 , -   ," 10,144 ", -   , -   , -   ," 10,496 ",,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL , -   , -   , 1 , 24 , -   , 357 , 70 ," 1,079 "," 15,455 ", -   , -   , -   ," 16,652 ",,,,,,,,,,,,,,,,,,,,,,,,,,
             , ,, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3C,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Coronary bypass and valvular
    surgery", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Transplants , -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Neurosurgery, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Restorative orthopedic: joint-hip,
    knee replacements, other orthopedic", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Reconstructive surgery: cleft palate,
    skin grafts", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Pacemaker implant, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Lithotripsy, etc: kidney stones", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Lithotripsy, etc: gall stones", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Other Acute Chronic Tertiary Care , -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3C,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
