,,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
"Federal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,34988
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,Alaska,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
2,Albuquerque,149 ,"7,985 ",332 ,309 ,171 ,"2,293 ",490 ,260 ,"11,989 ",,,,,,,,,,,,,
3,Bemidji,32 ,956 ,152 ,557 ,0 ,198 ,122 ,7 ,"2,024 ",,,,,,,,,,,,,
4,Billing,"5,244 ","16,158 ",363 ,152 ,"1,863 ","2,607 ",188 ,0 ,"26,575 ",,,,,,,,,,,,,
5,California,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
6,Great Plains,"5,466 ","19,656 ","1,432 ","2,683 ",0 ,"9,418 ",0 ,0 ,"38,655 ",,,,,,,,,,,,,
7,Nashville,78 ,96 ,17 ,31 ,141 ,51 ,19 ,60 ,493 ,,,,,,,,,,,,,
8,Navajo,"1,389 ","25,837 ",395 ,999 ,0 ,515 ,926 ,197 ,"30,258 ",,,,,,,,,,,,,
9,Oklahoma,"7,258 ","1,074 ","1,807 ","1,420 ",27 ,511 ,152 ,87 ,"12,336 ",,,,,,,,,,,,,
10,Phoenix,907 ,"12,694 ",308 ,614 ,0 ,"5,986 ",0 ,0 ,"20,509 ",,,,,,,,,,,,,
11,Portland,5 ,113 ,2 ,383 ,0 ,33 ,0 ,1 ,537 ,,,,,,,,,,,,,
12,Tucson,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
  Federal Sub Total ,,"20,528 ","84,569 ","4,808 ","7,148 ","2,202 ","21,612 ","1,897 ",612 ,"143,376 ",,,,,,,,,,,,,
1,Alaska,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
2,Albuquerque,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
3,Bemidji,151 ,"2,936 ",784 ,468 ,273 ,216 ,8 ,693 ,"5,529 ",,,,,,,,,,,,,
4,Billing,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
