ORAP/Division of Contract Care,,,,,,,
FY 2020 Purchased / Referred Care Unmet Need,,,,,,,
 as of 04/12/2021,,,,,,,
,,,,,,,
,,,,,,,
Total Estimated Unmet Need ,,,,,, ,
,Number,Amount,,,, ,
I. Denied Services,"35,412","$142,594,966 ",,,, ,
II. Deferred Services,"226,151","$910,643,753 ",,,, ,
Subtotal,"261,563","$1,053,238,719 ",,,, ,
III. CHEF Cases,0, $- ,,,, ,
TOTAL,"261,563","$1,053,238,719 ",,,, ,
,,,,,,,
,,,,,,,
,,,,,,,
I. Denied Services,,Data Reported,,Data Not Reported,,,
Services,"Average 
Cost per Claim",Number of Denied Services,Amount,Estimated Number of Denied Services*,Amount**,"Total Number of 
Denied Services","Total Cost of 
Denied Services"
Inpatient - 41%,"$8,714 ","8,222","$71,646,507 ","6,297","$54,876,462.52 ","14,519","$126,522,970 "
Outpatient - 47%,$418 ,"9,425","$3,942,718 ","7,219","$3,019,859.99 ","16,644","$6,962,578 "
Transportation - 12%,"$2,144 ","2,406","$5,158,415 ","1,843","$3,951,003.35 ","4,249","$9,109,419 "
Total,,"20,053","$80,747,640 ","15,359","$61,847,326 ","35,412","$142,594,966 "
,,,,,,,
,,,,,,,
,,,,,,,
"Denied
Methodology",Total Programs,"Number of 
Programs that Reported Data",Percent of Programs  that Reported Data,Percent of PRC Budget Accounted for ,"Apply Percent of
Data Reported",,
Federal PRC Programs,63,63,100%,38%,38%,,
Tribal PRC Programs,187,57,30%,62%,19%,,
,,Percent of Data Reported,,,57%,,
,,Percent of Data Not Reported,,,43%,,
*Estimated Number of Denied Services = (Reported Number of Denied Services / Percent of Data Reported) * (Percent of Data Not Reported),,,,,,,
**Cost for the Estimated Number of Denied Services = Average Cost per Claim (as provided by the FI) * Estimated Number of Denied Services,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
II. Deferred Services,,Data Reported,,Data Not Reported,,,
Services,"Average 
Cost per Claim",Number of Deferred Services,Amount,Estimated Number of Deferred Services*,Amount**,Total Number of Deferred Services,"Total Cost of 
Deferred Services"
Inpatient - 41%,"$8,714 ","52,506","$457,550,821.78 ","40,216","$350,453,519.14 ","92,722","$808,004,341 "
Outpatient - 47%,$418 ,"60,190","$25,179,091 ","46,101","$19,285,509.92 ","106,291","$44,464,601 "
Transportation - 12%,"$2,144 ","15,368","$32,942,809 ","11,771","$25,232,002.29 ","27,138","$58,174,811 "
Total,,"128,063","$515,672,722 ","98,088","$394,971,031 ","226,151","$910,643,753 "
,,,,,,,
,,,,,,,
 Deferred Methodology,Total Programs,Number of Programs that Reported Data,Percent of Programs Reported,"Percent of 
PRC Budget Accounted for",Apply Percent of Data Reported,,
Federal PRC Programs,63,63,100%,38%,37.61%,,
Tribal PRC Programs,187,57,30%,62%,19%,,
,,Percent of Data Reported,,,57%,,
,Percent of Data Not Reported,,,,43%,,
*Estimated Number of Deferred Services = (Reported Number of Deferred Services / Percent of Data Reported) * (Percent of Data Not Reported),,,,,,,
**Cost for the Estimated Number of Deferred Services = Average Cost per Claim (as provided by the FI) * Estimated Number of Denied Services,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
III. Catastrophic Health Emergency Fund (CHEF) Cases Reimbursed and Not Reimbursed,,,,,,,
Year,"CHEF 
Cases Reimbursed","Amount of CHEF 
Cases Reimbursed ","CHEF Cases 
Not Reimbursed",Cost for CHEF Cases Not Reimbursed ,,,
2020,930,"$30,563,055 ",0, $- ,,,
