,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Federal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,Alaska, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
2,Albuquerque," 1,453 "," 12,436 ", 415 , 558 , 6 ," 3,975 ", -   , 115 ," 18,958 ",Yes,
3,Bemidji, 126 , 853 , 44 , 922 , 156 , 385 , 99 , 12 ," 2,597 ",Yes,
4,Billing, 400 ," 13,126 ", 341 , 464 , -   ," 2,444 ", -   , -   ," 16,775 ",Yes,
5,California, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
6,Great Plains," 1,608 "," 20,653 "," 1,066 "," 1,582 ", 626 ," 4,614 "," 1,939 ", -   ," 32,088 ",Yes,
7,Nashville, 37 , 12 , 132 , 20 , -   , 11 , 3 , 29 , 244 ,Yes,
8,Navajo," 1,370 "," 29,577 ", 729 ," 1,039 ", -   , 561 ," 1,085 ", -   ," 34,361 ",Yes,
9,Oklahoma," 2,956 "," 1,488 "," 3,954 ", 831 , 18 , 536 , 482 , 131 ," 10,396 ",Yes,
10,Phoenix, 173 ," 10,427 ", 173 , 378 , -   ," 6,804 ", -   , 71 ," 18,026 ",Yes,
11,Portland, -   , 12 , -   , 139 , 1 , 6 , -   , -   , 158 ,Yes,
12,Tucson, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
  Federal Sub Total ,," 8,123 "," 88,584 "," 6,854 "," 5,933 ", 807 ," 19,336 "," 3,608 ", 358 ," 133,603 ",,
