NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,,,
 l. Cardiac ,a. cardiac cath,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,11 ,8 ,19 ,152 ,"2,888 ","3,040 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,170 ,"2,896 ","3,066 "
    Procedures,b. arteriogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,3 ,3 ,6 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,5 ,9 
,c angioplasty,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 
,d. angiogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 
,"e. other (echo's, Holters)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,49 ,0 ,49 ,0 ,0 ,0 ,37 ,204 ,241 ,369 ,650 ,"1,019 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,458 ,854 ,"1,312 "
,f. stress tests,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,9 ,91 ,100 ,0 ,20 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,112 ,122 
(Great Plains)----->,g. Cardiology Consults,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,42 
 2. Dental ,a. orthodontics (braces),0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,0 ,2 ,0 ,11 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,245 ,2 ,247 ,301 ,6 ,307 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,548 ,20 ,568 
     Procedures,"b. prosthodontics-bridges,dentures",0 ,0 ,0 ,0 ,0 ,0 ,0 ,110 ,110 ,3 ,0 ,3 ,0 ,25 ,25 ,0 ,0 ,0 ,0 ,0 ,0 ,137 ,2 ,139 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,140 ,137 ,277 
,c. endodontics (root canal),0 ,0 ,0 ,0 ,0 ,0 ,4 ,2 ,6 ,2 ,0 ,2 ,0 ,12 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,12 ,100 ,328 ,428 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,118 ,342 ,460 
,d. periodontics (gum surgery),0 ,0 ,0 ,0 ,0 ,0 ,1 ,39 ,40 ,0 ,0 ,0 ,0 ,45 ,45 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,84 ,85 
,e. oral surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,9 ,9 ,4 ,0 ,4 ,0 ,0 ,0 ,30 ,57 ,87 ,2 ,934 ,936 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,"1,000 ","1,039 "
,f. other ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,12 ,14 ,0 ,14 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,804 ","1,804 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,"1,816 ","1,831 "
 3. ENT Services,a. non-acute otitis media,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,16 ,0 ,16 ,0 ,0 ,0 ,18 ,0 ,18 ,1 ,54 ,55 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,54 ,93 
,b. tympanoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,3 ,1 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,5 ,8 
,c. T&As,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,2 ,3 ,0 ,3 ,0 ,0 ,0 ,4 ,0 ,4 ,1 ,18 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,20 ,29 
,d. septo-rhinoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,2 ,2 ,10 ,0 ,10 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,16 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,21 ,34 
