NAME,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,FY 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CATEGORY:, SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,,,,,,,,,,,,,,,
,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL TOTAL,TRIBAL TOTAL,I.H.S. TOTAL,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   , -   , -   , -   , -   , -   , 51 , 51 , 3 , -   , 3 , -   , 2 , 2 , 3 , -   , 3 , -   , -   , -   ," 60,214 ", -   ," 60,214 ", 35 , 13 , 48 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 60,255 ", 66 ," 60,321 ",,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   , -   , -   , -   , -   , -   , -   , 10 , 10 , 3 , -   , 3 , -   , 3 , 3 , 13 , -   , 13 , -   , -   , -   , 7 , 36 , 43 ," 1,005 ", 37 ," 1,042 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,028 ", 86 ," 1,114 ",,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , 17 ,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,955 ", -   ," 1,955 ", -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,955 ", 1 ," 1,956 ",,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 500 , 1 , 501 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 501 , 4 , 505 ,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , 5 ,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 35 , -   , 35 , -   , -   , -   , 59 , 986 ," 1,045 ", -   , 3 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 96 , 989 ," 1,085 ",,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 462 , 6 , 468 , 1 , 1 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 465 , 7 , 472 ,,,,,,,,,,,,,,
8. Physical Therapy, -   , -   , -   , -   , -   , -   , 26 , 9 , 35 , 7 , -   , 7 , -   , 3 , 3 , 21 , 12 , 33 , -   , -   , -   ," 2,681 ", -   ," 2,681 ", 10 , 31 , 41 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,745 ", 55 ," 2,800 ",,,,,,,,,,,,,,
9. Pap Smears, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 312 , -   , 312 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 315 , -   , 315 ,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , 3 , 3 , 1 , -   , 1 , -   , -   , -   ," 2,077 ", 200 ," 2,277 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,080 ", 203 ," 2,283 ",,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,,,,,,,,,,,,,,
12. Other (State Type Below), -   , -   , -   , -   , -   , -   , 6 , -   , 6 , 1 , -   , 1 , -   , 24 , 24 , 22 , -   , 22 , 1 , -   , 1 , 5 , -   , 5 , 662 , 18 , 680 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 697 , 42 , 739 ,,,,,,,,,,,,,,
     TOTAL, -   , -   , -   , -   , -   , -   , 32 , 70 , 102 , 21 , -   , 21 , -   , 40 , 40 , 98 , 12 , 110 , 1 , -   , 1 ," 67,791 "," 1,228 "," 69,019 "," 2,213 ", 107 ," 2,320 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 70,156 "," 1,457 "," 71,613 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque Area Federal,,,,,,,,,,,,,,(b)(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,,,,,,Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),Federal Sub Total,(b)(6),(b)(6),Tribal Sub Total,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),(b)(6),,(b)(6),(b)(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
