Table 3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,Total,I.H.S.
,Alaska,,,Albuquerque,,,Bemidji,,,Billing,,,California,,,Great Plains,,,Nashville,,,Navajo,,,Oklahoma,,,Phoenix,,,Portland,,,Tucson,,,Federal,Tribal,Total
,Federal,Tribal,Total,Federal,Tribal,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,,,
"1. Coronary bypass and valvular
    surgery", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16 , 16 , 34 , 20 , 54 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 34 , 36 , 70 
2. Transplants , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 4 , -   , 4 , -   , -   , -   , -   , 11 , 11 , 3 , 8 , 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 21 , 28 
3. Neurosurgery, -   , -   , -   , -   , -   , -   , -   , 20 , 20 , -   , -   , -   , -   , -   , -   , 9 , -   , 9 , -   , -   , -   , 2 , -   , 2 , -   , 12 , 12 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 32 , 43 
"4. Restorative orthopedic: joint-hip,
    knee replacements, other orthopedic", -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 5 , -   , 5 , -   , -   , -   , 20 , -   , 20 , -   , -   , -   , 17 , 26 , 43 , 3 , 88 , 91 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , 116 , 161 
