TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2022,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,   ,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Albuquerque Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2022,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,,,,,,,
2,(b) (6) ,,,,,,,
3,(b) (6) ,,,,,,,
4,(b) (6) ,,,,,,,
5,(b) (6) ,,4/30/2020,352,NA,NA,"Pending review/approval at HQ, Indian Health Service.  Note: The Nashville Area team compiled additional information related to the requests for data for the PRCDA discussion.  Through HQ review, various options for approval were considered, with one option affecting (b) (6)          . (b) (6)       is reviewing dates to confirm a consultation option.",
6,(b) (6) ,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Bemidji Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2022,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,Bemidji Area Tribal-None,,,,,,,
,,,,,,,,
,,,,,,,,
,Billing Area Federal,,,,,,,
,None for FY 2022,,,,,,,
,,,,,,,,
,,,,,,,,
