,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Federal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,Alaska, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,Albuquerque, 180 ," 15,387 ", 556 , 618 , 14 ," 4,889 ", 106 , 214 ," 21,964 ",,
3,Bemidji, 147 , 717 , 217 , 925 , 37 , 243 , 99 , -   ," 2,385 ",,
4,Billing, 671 ," 14,485 ", 292 , -   , 512 ," 2,379 ", 21 , -   ," 18,360 ",,
5,California, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,Great Plains," 1,419 "," 19,140 ", 517 ," 2,107 ", 259 ," 6,778 ", -   , -   ," 30,220 ",,
7,Nashville, 91 , 65 , 143 , 53 , 35 , 6 , 21 , -   , 414 ,,
8,Navajo," 1,300 "," 30,386 ", 441 ," 1,329 ", -   , 575 ," 1,024 ", 157 ," 35,212 ",,
9,Oklahoma," 6,748 ", 706 ," 2,065 "," 1,559 "," 1,105 ", 468 ," 1,191 ", 754 ," 14,596 ",,
10,Phoenix, 373 ," 13,102 ", 304 , 489 , -   ," 7,216 ", -   , 1 ," 21,485 ",,
11,Portland, 4 , 45 , 37 , 185 , -   , -   , -   , -   , 271 ,,
12,Tucson, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
