"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	762	4887871	15.5896
	"Alabama"	"01"	"2019"	"2019"	831	4903185	16.9482
	"Alabama"	"01"	"2020"	"2020"	966	4921532	19.6280
	"Alabama"	"01"	"2021 (provisional)"	"2021"	1043	4921532	21.1926
"Total"	"Alabama"	"01"			3602	19634120	18.3456
	"Alaska"	"02"	"2018"	"2018"	121	737438	16.4082
	"Alaska"	"02"	"2019"	"2019"	110	731545	15.0367
	"Alaska"	"02"	"2020"	"2020"	167	731158	22.8405
	"Alaska"	"02"	"2021 (provisional)"	"2021"	189	731158	25.8494
"Total"	"Alaska"	"02"			587	2931299	20.0253
	"Arizona"	"04"	"2018"	"2018"	1162	7171646	16.2027
	"Arizona"	"04"	"2019"	"2019"	1217	7278717	16.7200
	"Arizona"	"04"	"2020"	"2020"	1431	7421401	19.2821
	"Arizona"	"04"	"2021 (provisional)"	"2021"	1773	7421401	23.8904
"Total"	"Arizona"	"04"			5583	29293165	19.0591
	"Arkansas"	"05"	"2018"	"2018"	455	3013825	15.0971
	"Arkansas"	"05"	"2019"	"2019"	464	3017804	15.3754
	"Arkansas"	"05"	"2020"	"2020"	544	3030522	17.9507
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	625	3030522	20.6235
"Total"	"Arkansas"	"05"			2088	12092673	17.2667
	"California"	"06"	"2018"	"2018"	5390	39557045	13.6259
	"California"	"06"	"2019"	"2019"	5575	39512223	14.1096
	"California"	"06"	"2020"	"2020"	6180	39368078	15.6980
	"California"	"06"	"2021 (provisional)"	"2021"	7102	39368078	18.0400
"Total"	"California"	"06"			24247	157805424	15.3651
	"Colorado"	"08"	"2018"	"2018"	832	5695564	14.6079
	"Colorado"	"08"	"2019"	"2019"	960	5758736	16.6703
	"Colorado"	"08"	"2020"	"2020"	1141	5807719	19.6463
	"Colorado"	"08"	"2021 (provisional)"	"2021"	1234	5807719	21.2476
"Total"	"Colorado"	"08"			4167	23069738	18.0626
	"Connecticut"	"09"	"2018"	"2018"	350	3572665	9.7966
	"Connecticut"	"09"	"2019"	"2019"	418	3565287	11.7242
	"Connecticut"	"09"	"2020"	"2020"	543	3557006	15.2656
	"Connecticut"	"09"	"2021 (provisional)"	"2021"	550	3557006	15.4624
"Total"	"Connecticut"	"09"			1861	14251964	13.0578
	"Delaware"	"10"	"2018"	"2018"	109	967171	11.2700
	"Delaware"	"10"	"2019"	"2019"	118	973764	12.1179
	"Delaware"	"10"	"2020"	"2020"	143	986809	14.4912
	"Delaware"	"10"	"2021 (provisional)"	"2021"	146	986809	14.7952
"Total"	"Delaware"	"10"			516	3914553	13.1816
	"District of Columbia"	"11"	"2018"	"2018"	59	702455	8.3991
	"District of Columbia"	"11"	"2019"	"2019"	64	705749	9.0684
	"District of Columbia"	"11"	"2020"	"2020"	57	712816	7.9965
	"District of Columbia"	"11"	"2021 (provisional)"	"2021"	65	712816	9.1188
"Total"	"District of Columbia"	"11"			245	2833836	8.6455
	"Florida"	"12"	"2018"	"2018"	3345	21299325	15.7047
	"Florida"	"12"	"2019"	"2019"	3192	21477737	14.8619
	"Florida"	"12"	"2020"	"2020"	3744	21733312	17.2270
	"Florida"	"12"	"2021 (provisional)"	"2021"	3911	21733312	17.9954
"Total"	"Florida"	"12"			14192	86243686	16.4557
	"Georgia"	"13"	"2018"	"2018"	1171	10519475	11.1317
	"Georgia"	"13"	"2019"	"2019"	1230	10617423	11.5847
	"Georgia"	"13"	"2020"	"2020"	1470	10710017	13.7255
	"Georgia"	"13"	"2021 (provisional)"	"2021"	1636	10710017	15.2754
"Total"	"Georgia"	"13"			5507	42556932	12.9403
	"Hawaii"	"15"	"2018"	"2018"	120	1420491	8.4478
	"Hawaii"	"15"	"2019"	"2019"	126	1415872	8.8991
	"Hawaii"	"15"	"2020"	"2020"	147	1407006	10.4477
	"Hawaii"	"15"	"2021 (provisional)"	"2021"	177	1407006	12.5799
"Total"	"Hawaii"	"15"			570	5650375	10.0878
	"Idaho"	"16"	"2018"	"2018"	249	1754208	14.1944
	"Idaho"	"16"	"2019"	"2019"	249	1787065	13.9335
	"Idaho"	"16"	"2020"	"2020"	322	1826913	17.6254
	"Idaho"	"16"	"2021 (provisional)"	"2021"	351	1826913	19.2127
"Total"	"Idaho"	"16"			1171	7195099	16.2750
	"Illinois"	"17"	"2018"	"2018"	1421	12741080	11.1529
	"Illinois"	"17"	"2019"	"2019"	1463	12671821	11.5453
	"Illinois"	"17"	"2020"	"2020"	1685	12587530	13.3863
	"Illinois"	"17"	"2021 (provisional)"	"2021"	1776	12587530	14.1092
"Total"	"Illinois"	"17"			6345	50587961	12.5425
	"Indiana"	"18"	"2018"	"2018"	981	6691878	14.6596
	"Indiana"	"18"	"2019"	"2019"	940	6732219	13.9627
	"Indiana"	"18"	"2020"	"2020"	1146	6754953	16.9653
	"Indiana"	"18"	"2021 (provisional)"	"2021"	1177	6754953	17.4243
"Total"	"Indiana"	"18"			4244	26934003	15.7570
	"Iowa"	"19"	"2018"	"2018"	331	3156145	10.4875
	"Iowa"	"19"	"2019"	"2019"	357	3155070	11.3151
	"Iowa"	"19"	"2020"	"2020"	414	3163561	13.0865
	"Iowa"	"19"	"2021 (provisional)"	"2021"	508	3163561	16.0579
"Total"	"Iowa"	"19"			1610	12638337	12.7390
	"Kansas"	"20"	"2018"	"2018"	360	2911505	12.3647
	"Kansas"	"20"	"2019"	"2019"	349	2913314	11.9795
	"Kansas"	"20"	"2020"	"2020"	449	2913805	15.4094
	"Kansas"	"20"	"2021 (provisional)"	"2021"	518	2913805	17.7774
"Total"	"Kansas"	"20"			1676	11652429	14.3833
	"Kentucky"	"21"	"2018"	"2018"	717	4468402	16.0460
	"Kentucky"	"21"	"2019"	"2019"	750	4467673	16.7873
	"Kentucky"	"21"	"2020"	"2020"	889	4477251	19.8559
	"Kentucky"	"21"	"2021 (provisional)"	"2021"	939	4477251	20.9727
"Total"	"Kentucky"	"21"			3295	17890577	18.4175
	"Louisiana"	"22"	"2018"	"2018"	515	4659978	11.0516
	"Louisiana"	"22"	"2019"	"2019"	509	4648794	10.9491
	"Louisiana"	"22"	"2020"	"2020"	583	4645318	12.5503
	"Louisiana"	"22"	"2021 (provisional)"	"2021"	667	4645318	14.3585
"Total"	"Louisiana"	"22"			2274	18599408	12.2262
	"Maine"	"23"	"2018"	"2018"	198	1338404	14.7937
	"Maine"	"23"	"2019"	"2019"	200	1344212	14.8786
	"Maine"	"23"	"2020"	"2020"	249	1350141	18.4425
	"Maine"	"23"	"2021 (provisional)"	"2021"	311	1350141	23.0346
"Total"	"Maine"	"23"			958	5382898	17.7971
	"Maryland"	"24"	"2018"	"2018"	489	6042718	8.0924
	"Maryland"	"24"	"2019"	"2019"	573	6045680	9.4778
	"Maryland"	"24"	"2020"	"2020"	694	6055802	11.4601
	"Maryland"	"24"	"2021 (provisional)"	"2021"	682	6055802	11.2619
"Total"	"Maryland"	"24"			2438	24200002	10.0744
	"Massachusetts"	"25"	"2018"	"2018"	791	6902149	11.4602
	"Massachusetts"	"25"	"2019"	"2019"	746	6892503	10.8234
	"Massachusetts"	"25"	"2020"	"2020"	931	6893574	13.5053
	"Massachusetts"	"25"	"2021 (provisional)"	"2021"	930	6893574	13.4908
"Total"	"Massachusetts"	"25"			3398	27581800	12.3197
	"Michigan"	"26"	"2018"	"2018"	1310	9995915	13.1054
	"Michigan"	"26"	"2019"	"2019"	1437	9986857	14.3889
	"Michigan"	"26"	"2020"	"2020"	1661	9966555	16.6657
	"Michigan"	"26"	"2021 (provisional)"	"2021"	1796	9966555	18.0203
"Total"	"Michigan"	"26"			6204	39915882	15.5427
	"Minnesota"	"27"	"2018"	"2018"	668	5611179	11.9048
	"Minnesota"	"27"	"2019"	"2019"	696	5639632	12.3412
	"Minnesota"	"27"	"2020"	"2020"	896	5657342	15.8378
	"Minnesota"	"27"	"2021 (provisional)"	"2021"	885	5657342	15.6434
"Total"	"Minnesota"	"27"			3145	22565495	13.9372
	"Mississippi"	"28"	"2018"	"2018"	432	2986530	14.4649
	"Mississippi"	"28"	"2019"	"2019"	457	2976149	15.3554
	"Mississippi"	"28"	"2020"	"2020"	550	2966786	18.5386
	"Mississippi"	"28"	"2021 (provisional)"	"2021"	630	2966786	21.2351
"Total"	"Mississippi"	"28"			2069	11896251	17.3920
	"Missouri"	"29"	"2018"	"2018"	718	6126452	11.7197
	"Missouri"	"29"	"2019"	"2019"	743	6137428	12.1060
	"Missouri"	"29"	"2020"	"2020"	900	6151548	14.6305
	"Missouri"	"29"	"2021 (provisional)"	"2021"	958	6151548	15.5733
"Total"	"Missouri"	"29"			3319	24566976	13.5100
	"Montana"	"30"	"2018"	"2018"	153	1062305	14.4026
	"Montana"	"30"	"2019"	"2019"	180	1068778	16.8417
	"Montana"	"30"	"2020"	"2020"	237	1080577	21.9327
	"Montana"	"30"	"2021 (provisional)"	"2021"	308	1080577	28.5033
"Total"	"Montana"	"30"			878	4292237	20.4555
	"Nebraska"	"31"	"2018"	"2018"	231	1929268	11.9735
	"Nebraska"	"31"	"2019"	"2019"	241	1934408	12.4586
	"Nebraska"	"31"	"2020"	"2020"	292	1937552	15.0706
	"Nebraska"	"31"	"2021 (provisional)"	"2021"	308	1937552	15.8963
"Total"	"Nebraska"	"31"			1072	7738780	13.8523
	"Nevada"	"32"	"2018"	"2018"	493	3034392	16.2471
	"Nevada"	"32"	"2019"	"2019"	492	3080156	15.9732
	"Nevada"	"32"	"2020"	"2020"	559	3138259	17.8124
	"Nevada"	"32"	"2021 (provisional)"	"2021"	635	3138259	20.2341
"Total"	"Nevada"	"32"			2179	12391066	17.5853
	"New Hampshire"	"33"	"2018"	"2018"	213	1356458	15.7027
	"New Hampshire"	"33"	"2019"	"2019"	193	1359711	14.1942
	"New Hampshire"	"33"	"2020"	"2020"	205	1366275	15.0043
	"New Hampshire"	"33"	"2021 (provisional)"	"2021"	257	1366275	18.8103
"Total"	"New Hampshire"	"33"			868	5448719	15.9303
	"New Jersey"	"34"	"2018"	"2018"	893	8908520	10.0241
	"New Jersey"	"34"	"2019"	"2019"	853	8882190	9.6035
	"New Jersey"	"34"	"2020"	"2020"	991	8882371	11.1569
	"New Jersey"	"34"	"2021 (provisional)"	"2021"	1060	8882371	11.9338
"Total"	"New Jersey"	"34"			3797	35555452	10.6791
	"New Mexico"	"35"	"2018"	"2018"	591	2095428	28.2043
	"New Mexico"	"35"	"2019"	"2019"	594	2096829	28.3285
	"New Mexico"	"35"	"2020"	"2020"	753	2106319	35.7496
	"New Mexico"	"35"	"2021 (provisional)"	"2021"	934	2106319	44.3428
"Total"	"New Mexico"	"35"			2872	8404895	34.1706
	"New York"	"36"	"2018"	"2018"	1650	19542209	8.4433
	"New York"	"36"	"2019"	"2019"	1670	19453561	8.5845
	"New York"	"36"	"2020"	"2020"	1860	19336776	9.6190
	"New York"	"36"	"2021 (provisional)"	"2021"	1966	19336776	10.1672
